learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent)- first measurement,classifications correct (percent)- last measurement,model training instances,model serialized size (bytes)
58000.0,363.546875,0.0,55628.0,2372.0,59.099999999999994,59.5,58000.0,0.0
59000.0,369.90625,0.0,56577.0,2423.0,59.699999999999996,60.4,59000.0,0.0
60000.0,376.296875,0.0,57532.0,2468.0,59.599999999999994,60.099999999999994,60000.0,0.0
61000.0,382.796875,0.0,58491.0,2509.0,59.4,60.0,61000.0,0.0
62000.0,389.265625,0.0,59449.0,2551.0,58.9,59.3,62000.0,0.0
63000.0,395.609375,0.0,60407.0,2593.0,58.8,59.4,63000.0,0.0
64000.0,401.984375,0.0,61361.0,2639.0,58.699999999999996,59.4,64000.0,0.0
65000.0,408.578125,0.0,62322.0,2678.0,58.5,59.3,65000.0,0.0
66000.0,414.8125,0.0,63281.0,2719.0,58.3,59.599999999999994,66000.0,0.0
67000.0,421.375,0.0,64243.0,2757.0,58.199999999999996,59.3,67000.0,0.0
68000.0,427.8125,0.0,65205.0,2795.0,57.99999999999999,59.8,68000.0,0.0
69000.0,434.375,0.0,66148.0,2852.0,58.599999999999994,60.699999999999996,69000.0,0.0
70000.0,441.34375,0.0,67103.0,2897.0,58.9,60.4,70000.0,0.0
71000.0,448.015625,0.0,68039.0,2961.0,57.699999999999996,59.199999999999996,71000.0,0.0
72000.0,454.671875,0.0,68992.0,3008.0,57.49999999999999,59.4,72000.0,0.0
73000.0,460.90625,0.0,69941.0,3059.0,57.599999999999994,60.0,73000.0,0.0
74000.0,467.390625,0.0,70890.0,3110.0,58.3,60.4,74000.0,0.0
75000.0,473.765625,0.0,71829.0,3171.0,58.4,60.5,75000.0,0.0
76000.0,480.21875,0.0,72773.0,3227.0,58.8,61.1,76000.0,0.0
