learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent)- first measurement,classifications correct (percent)- last measurement,model training instances,model serialized size (bytes)
1000.0,0.171875,9.755264424408477E-8,14.0,58.333333333333336,57.14285714285714,14.0,2193960.0
2000.0,0.453125,2.6059055623287957E-7,27.0,52.0,44.44444444444444,27.0,2240776.0
3000.0,0.921875,6.362851127050817E-7,36.0,54.54545454545454,50.0,36.0,3098104.0
4000.0,1.625,1.4778893091715872E-6,46.0,50.0,47.82608695652174,46.0,4626768.0
5000.0,2.171875,2.649706697815822E-6,67.0,51.66666666666667,50.74626865671642,67.0,8282744.0
6000.0,2.71875,4.119773350086891E-6,79.0,54.166666666666664,53.16455696202531,79.0,1.0390856E7
7000.0,3.3125,6.128524384823525E-6,94.0,56.97674418604651,55.319148936170215,94.0,1.3077504E7
8000.0,3.765625,7.743838747652868E-6,98.0,56.666666666666664,55.10204081632652,98.0,1.3779752E7
9000.0,4.15625,9.136351129402303E-6,98.0,56.666666666666664,55.10204081632652,98.0,1.3779752E7
10000.0,5.15625,1.435296412738454E-5,127.0,56.03448275862068,55.118110236220474,127.0,2.0164664E7
11000.0,6.125,2.0911182154021745E-5,153.0,54.929577464788736,54.248366013071895,153.0,2.616836E7
12000.0,7.1875,2.96974673983641E-5,178.0,52.69461077844312,52.24719101123596,178.0,3.1965296E7
13000.0,8.796875,4.671786071008279E-5,215.0,53.960396039603964,53.48837209302325,215.0,4.088036E7
14000.0,10.4375,6.799402970096304E-5,253.0,53.75,53.359683794466406,253.0,5.0128704E7
15000.0,12.359375,9.876256443223813E-5,301.0,56.09756097560976,55.81395348837209,301.0,6.1884808E7
16000.0,14.34375,1.358624857837438E-4,339.0,56.00000000000001,55.75221238938053,339.0,7.2268928E7
17000.0,16.5625,1.818537035918174E-4,368.0,55.524079320113316,55.434782608695656,368.0,8.012516E7
18000.0,18.90625,2.3624192816593375E-4,403.0,55.69948186528497,55.58312655086849,403.0,8.9700728E7
19000.0,21.578125,3.047241673145133E-4,438.0,55.714285714285715,55.70776255707762,438.0,9.9075024E7
20000.0,24.40625,3.839683605797796E-4,472.0,55.72687224669603,55.720338983050844,472.0,1.08310664E8
21000.0,27.640625,4.8571495691754135E-4,518.0,55.71142284569138,55.5984555984556,518.0,1.21599528E8
22000.0,30.765625,5.931372274709349E-4,558.0,57.72811918063314,57.52688172043011,558.0,1.3287604E8
23000.0,34.078125,7.186413193186229E-4,603.0,56.79862306368331,56.550580431177444,603.0,1.46455056E8
24000.0,38.15625,8.887506474921894E-4,651.0,56.75675675675676,56.528417818740394,651.0,1.61238952E8
25000.0,42.5,0.001087479441258539,700.0,57.163958641063516,56.99999999999999,700.0,1.76847264E8
26000.0,47.0625,0.0013144643347994941,749.0,57.931034482758626,57.810413885180246,749.0,1.923076E8
27000.0,52.1875,0.0015950358192720966,807.0,58.38668373879642,58.36431226765799,807.0,2.1161772E8
28000.0,57.453125,0.0019093277754533725,865.0,58.65384615384615,58.95953757225434,865.0,2.30720248E8
29000.0,62.84375,0.0022507413665880448,906.0,58.830275229357795,59.16114790286976,906.0,2.448184E8
30000.0,68.609375,0.0026419146178523075,958.0,58.80434782608695,59.081419624217126,958.0,2.62255816E8
31000.0,74.640625,0.003079764177673496,1008.0,58.63495346432265,59.0,1008.0,2.80620864E8
32000.0,80.90625,0.003564075291247314,1056.0,58.9,59.699999999999996,1056.0,2.98787488E8
33000.0,87.328125,0.004090605786510018,1104.0,59.599999999999994,60.099999999999994,1104.0,3.16930512E8
