learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Unlabeled instances,classified instances,classifications correct (percent)- first measurement,classifications correct (percent)- last measurement,model training instances,model serialized size (bytes)
1000.0,19.296875,0.0,986.0,14.0,58.333333333333336,57.14285714285714,1000.0,0.0
2000.0,38.734375,0.0,1973.0,27.0,52.0,48.148148148148145,2000.0,0.0
3000.0,57.90625,0.0,2964.0,36.0,54.54545454545454,52.77777777777778,3000.0,0.0
4000.0,76.828125,0.0,3954.0,46.0,50.0,50.0,4000.0,0.0
5000.0,95.984375,0.0,4933.0,67.0,51.66666666666667,52.23880597014925,5000.0,0.0
6000.0,114.890625,0.0,5921.0,79.0,54.166666666666664,54.43037974683544,6000.0,0.0
7000.0,133.75,0.0,6906.0,94.0,56.97674418604651,56.38297872340425,7000.0,0.0
8000.0,153.546875,0.0,7902.0,98.0,56.666666666666664,56.12244897959183,8000.0,0.0
9000.0,172.984375,0.0,8902.0,98.0,56.666666666666664,56.12244897959183,9000.0,0.0
10000.0,192.15625,0.0,9873.0,127.0,56.03448275862068,55.90551181102362,10000.0,0.0
11000.0,211.390625,0.0,10847.0,153.0,54.929577464788736,54.90196078431373,11000.0,0.0
12000.0,230.6875,0.0,11822.0,178.0,52.69461077844312,52.80898876404494,12000.0,0.0
13000.0,250.046875,0.0,12785.0,215.0,53.960396039603964,53.95348837209303,13000.0,0.0
14000.0,269.78125,0.0,13747.0,253.0,53.75,54.54545454545454,14000.0,0.0
15000.0,290.125,0.0,14699.0,301.0,56.09756097560976,55.81395348837209,15000.0,0.0
16000.0,309.34375,0.0,15661.0,339.0,56.00000000000001,56.342182890855455,16000.0,0.0
17000.0,328.578125,0.0,16632.0,368.0,55.524079320113316,55.70652173913043,17000.0,0.0
18000.0,347.890625,0.0,17597.0,403.0,55.69948186528497,55.08684863523573,18000.0,0.0
19000.0,367.140625,0.0,18562.0,438.0,55.714285714285715,54.5662100456621,19000.0,0.0
20000.0,386.28125,0.0,19528.0,472.0,55.72687224669603,54.44915254237288,20000.0,0.0
21000.0,405.359375,0.0,20482.0,518.0,55.71142284569138,55.21235521235521,21000.0,0.0
22000.0,424.46875,0.0,21442.0,558.0,57.72811918063314,56.451612903225815,22000.0,0.0
23000.0,443.46875,0.0,22397.0,603.0,56.79862306368331,57.048092868988384,23000.0,0.0
24000.0,462.5,0.0,23349.0,651.0,56.75675675675676,58.37173579109063,24000.0,0.0
25000.0,481.609375,0.0,24300.0,700.0,57.163958641063516,58.57142857142858,25000.0,0.0
26000.0,500.8125,0.0,25251.0,749.0,57.931034482758626,59.546061415220294,26000.0,0.0
27000.0,519.78125,0.0,26193.0,807.0,58.38668373879642,59.355638166047086,27000.0,0.0
28000.0,538.9375,0.0,27135.0,865.0,58.65384615384615,59.42196531791908,28000.0,0.0
29000.0,558.0625,0.0,28094.0,906.0,58.830275229357795,59.16114790286976,29000.0,0.0
30000.0,577.234375,0.0,29042.0,958.0,58.80434782608695,59.81210855949895,30000.0,0.0
31000.0,596.5,0.0,29992.0,1008.0,58.63495346432265,60.0,31000.0,0.0
32000.0,615.59375,0.0,30944.0,1056.0,58.9,60.0,32000.0,0.0
33000.0,634.78125,0.0,31896.0,1104.0,59.599999999999994,60.099999999999994,33000.0,0.0
34000.0,653.90625,0.0,32845.0,1155.0,59.699999999999996,60.5,34000.0,0.0
35000.0,673.0625,0.0,33796.0,1204.0,59.699999999999996,61.199999999999996,35000.0,0.0
36000.0,692.21875,0.0,34742.0,1258.0,60.4,61.4,36000.0,0.0
37000.0,711.328125,0.0,35693.0,1307.0,61.4,62.1,37000.0,0.0
38000.0,730.390625,0.0,36630.0,1370.0,61.3,61.8,38000.0,0.0
39000.0,749.59375,0.0,37570.0,1430.0,61.7,62.4,39000.0,0.0
40000.0,768.6875,0.0,38517.0,1483.0,62.0,63.4,40000.0,0.0
41000.0,787.6875,0.0,39467.0,1533.0,62.3,63.0,41000.0,0.0
42000.0,806.828125,0.0,40411.0,1589.0,62.1,62.5,42000.0,0.0
43000.0,826.03125,0.0,41370.0,1630.0,61.199999999999996,62.4,43000.0,0.0
44000.0,845.140625,0.0,42316.0,1684.0,62.1,62.7,44000.0,0.0
45000.0,864.296875,0.0,43269.0,1731.0,62.3,62.6,45000.0,0.0
46000.0,883.46875,0.0,44230.0,1770.0,62.4,62.7,46000.0,0.0
47000.0,902.765625,0.0,45175.0,1825.0,61.9,63.0,47000.0,0.0
48000.0,921.875,0.0,46128.0,1872.0,61.199999999999996,63.6,48000.0,0.0
49000.0,940.96875,0.0,47078.0,1922.0,61.4,64.1,49000.0,0.0
50000.0,960.171875,0.0,48026.0,1974.0,61.7,63.9,50000.0,0.0
51000.0,979.421875,0.0,48970.0,2030.0,61.199999999999996,64.1,51000.0,0.0
52000.0,998.65625,0.0,49922.0,2078.0,61.6,64.1,52000.0,0.0
53000.0,1017.875,0.0,50873.0,2127.0,61.199999999999996,64.3,53000.0,0.0
54000.0,1036.953125,0.0,51836.0,2164.0,61.0,63.800000000000004,54000.0,0.0
55000.0,1056.203125,0.0,52784.0,2216.0,60.3,63.5,55000.0,0.0
56000.0,1075.375,0.0,53732.0,2268.0,61.1,63.2,56000.0,0.0
57000.0,1094.5625,0.0,54675.0,2325.0,60.6,63.2,57000.0,0.0
58000.0,1113.75,0.0,55628.0,2372.0,60.0,63.800000000000004,58000.0,0.0
59000.0,1133.1875,0.0,56577.0,2423.0,60.5,63.9,59000.0,0.0
60000.0,1152.296875,0.0,57532.0,2468.0,60.4,64.2,60000.0,0.0
61000.0,1171.40625,0.0,58491.0,2509.0,60.0,63.9,61000.0,0.0
62000.0,1190.59375,0.0,59449.0,2551.0,59.4,64.1,62000.0,0.0
63000.0,1209.859375,0.0,60407.0,2593.0,59.3,64.1,63000.0,0.0
64000.0,1229.3125,0.0,61361.0,2639.0,59.3,63.7,64000.0,0.0
65000.0,1248.4375,0.0,62322.0,2678.0,59.099999999999994,63.5,65000.0,0.0
66000.0,1267.390625,0.0,63281.0,2719.0,58.699999999999996,63.6,66000.0,0.0
