learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
500.0,0.09375,1.6822014003992081E-10,500.0,81.2,62.32283717052525,63.98467432950192,60.504201680672274,500.0,6936.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1000.0,0.09375,1.6822014003992081E-10,1000.0,85.5,70.93046567389194,71.73489278752436,69.60167714884695,1000.0,7104.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1500.0,0.09375,1.6822014003992081E-10,1500.0,90.2,80.29493258051933,80.08130081300814,79.0149892933619,1500.0,7104.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.09375,1.6822014003992081E-10,2000.0,91.2,82.36699100716541,82.64299802761343,81.74273858921163,2000.0,7272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2500.0,0.140625,3.196570711831252E-10,2500.0,90.0,79.96666452977756,80.80614203454894,79.33884297520662,2500.0,12488.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
3000.0,0.171875,4.980958894722992E-10,3000.0,82.69999999999999,65.37784181876401,66.66666666666666,64.76578411405295,3000.0,22072.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
3500.0,0.1875,5.920689242581527E-10,3500.0,81.0,62.002887780528695,63.391136801541435,61.84738955823295,3500.0,23248.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
4000.0,0.203125,6.887583165533013E-10,4000.0,85.2,70.33913590688091,71.59309021113243,69.35817805383022,4000.0,23920.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
4500.0,0.203125,6.887583165533013E-10,4500.0,87.6,75.19553519633534,75.96899224806202,75.2988047808765,4500.0,24088.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
5000.0,0.21875,7.868058876030975E-10,5000.0,89.0,78.00659802059383,78.17460317460318,78.88675623800384,5000.0,24256.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
5500.0,0.21875,7.868058876030975E-10,5500.0,86.1,72.04659169522338,71.69042769857434,72.31075697211156,5500.0,31488.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
6000.0,0.234375,8.925821425186264E-10,6000.0,85.0,69.96828651055515,68.87966804979253,69.26229508196721,6000.0,26168.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
6500.0,0.25,1.0524915220836799E-9,6500.0,84.6,69.12293083536505,68.57142857142856,69.921875,6500.0,39560.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
7000.0,0.265625,1.2157963485353522E-9,7000.0,84.5,68.97021140294683,67.77546777546777,68.10699588477365,7000.0,40400.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
7500.0,0.265625,1.2157963485353522E-9,7500.0,86.8,73.58193004014745,72.67080745341615,71.67381974248926,7500.0,41240.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
8000.0,0.265625,1.2157963485353522E-9,8000.0,88.1,76.15994871383926,76.3888888888889,75.91093117408907,8000.0,41744.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
8500.0,0.28125,1.3852129793829386E-9,8500.0,89.0,78.00316754387367,77.82258064516128,77.77777777777779,8500.0,41912.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
9000.0,0.296875,1.5559877889851726E-9,9000.0,90.4,80.79900154808051,80.04158004158005,80.3680981595092,9000.0,42248.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
9500.0,0.296875,1.5559877889851726E-9,9500.0,90.3,80.59829264975318,81.1284046692607,80.08213552361397,9500.0,42416.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
10000.0,0.3125,1.7274416879647304E-9,10000.0,89.3,78.60085596576137,78.60000000000001,77.93814432989691,10000.0,42416.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
