learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,1.4375,2.685684723676079E-5,1000.0,30.87452843660418,44.999865104396754,1000.0,7.221868E7
2000.0,5.484375,1.41504098687114E-4,1000.0,27.601709365330684,39.81569016851068,2000.0,1.09508096E8
Out 0: 0.0 ,-81.0
Out 0: -81.0 ,38.0
Out 0: -20.181 ,17.0
Out 0: -8.545 ,89.0
Out 0: 17.487 ,-94.0
Out 0: -3.975 ,38.0
Out 0: 2.913 ,130.0
Out 0: 20.84 ,0.0
Out 0: 14.882 ,0.0
Out 0: 9.697 ,-92.0
Out 0: -29.572 ,-76.0
Out 0: 1.287 ,117.0
Out 0: -26.195 ,114.0
Out 0: 4.096 ,38.0
Out 0: 9.941 ,0.0
Out 0: 4.888 ,-11.0
Out 0: 2.115 ,-418.0
Out 0: -27.764 ,138.0
Out 0: -65.463 ,-27.0
Out 0: -47.054 ,38.0
Out 0: -36.345 ,-54.0
Out 0: 10.965 ,173.0
Out 0: -27.474 ,18.0
Out 0: 0.891 ,0.0
Out 0: -4.807 ,-68.0
Out 0: -12.824 ,-66.0
Out 0: -17.6 ,74.0
Out 0: -10.885 ,-17.0
Out 0: 0.57 ,49.0
Out 0: -4.068 ,-17.0
Out 0: -5.879 ,-123.0
Out 0: -21.601 ,64.0
Out 0: -4.015 ,-15.0
Out 0: 9.895 ,-65.0
Out 0: -5.654 ,-15.0
Out 0: -4.814 ,-95.0
Out 0: -9.954 ,-13.0
Out 0: -14.669 ,0.0
Out 0: -10.467 ,-13.0
Out 0: -5.394 ,-52.0
Out 0: -12.336 ,-72.0
Out 0: -10.269 ,-110.0
Out 0: -24.295 ,0.0
Out 0: -22.264 ,-47.0
Out 0: -24.078 ,-40.0
Out 0: -24.231 ,39.0
Out 0: -20.72 ,-45.0
Out 0: -18.528 ,-38.0
Out 0: -19.855 ,-40.0
Out 0: -22.728 ,22.0
Out 0: -17.001 ,-69.0
Out 0: -19.991 ,4.0
Out 0: -21.041 ,-40.0
Out 0: -20.616 ,-59.0
Out 0: -23.511 ,-55.0
Out 0: -22.617 ,21.0
Out 0: -13.467 ,7.0
Out 0: -24.439 ,-45.0
Out 0: -18.949 ,0.0
Out 0: -28.221 ,-95.0
Out 0: -9.235 ,35.0
Out 0: 0.922 ,0.0
Out 0: -0.496 ,0.0
Out 0: -35.458 ,-11.0
Out 0: -25.539 ,24.0
Out 0: -12.023 ,54.0
Out 0: -0.935 ,35.0
Out 0: 6.753 ,0.0
Out 0: -7.206 ,-80.0
Out 0: -19.944 ,-51.0
Out 0: -15.081 ,-53.0
Out 0: -21.104 ,-50.0
Out 0: -20.622 ,-63.0
Out 0: -29.052 ,-65.0
Out 0: -30.66 ,13.0
Out 0: -7.457 ,29.0
