learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,4.328125,1.5448899577475255E-4,1000.0,0.45371410859430045,0.5737422518517816,1000.0,1.37976368E8
2000.0,12.59375,8.879633446405124E-4,1000.0,0.39342925190019773,0.5009938192809016,2000.0,3.43013808E8
3000.0,31.328125,0.0036110932166532926,1000.0,0.3742739294800219,0.47915150599302264,3000.0,5.618644E8
4000.0,56.8125,0.008251166376414605,1000.0,0.3675143706239824,0.47401211014581024,4000.0,7.038064E8
5000.0,93.328125,0.016432773209655555,1000.0,0.3316527016726703,0.4224868329764691,5000.0,8.66088432E8
6000.0,136.609375,0.028538986828708507,1000.0,0.33049192642319075,0.4255626224849096,6000.0,1.081211904E9
7000.0,195.875,0.041735501471945706,1000.0,0.33644580647664396,0.4354020390108189,7000.0,8.6071376E8
8000.0,237.15625,0.05036646687160505,1000.0,0.3468194004712979,0.4460370557351185,8000.0,8.08181504E8
9000.0,282.234375,0.06059864779691755,1000.0,0.337839300644513,0.4289081631812655,9000.0,8.7741436E8
10000.0,325.625,0.07304017003505982,1000.0,0.3224758693159724,0.4119245053708625,10000.0,1.108357808E9
11000.0,373.84375,0.08930215657575495,1000.0,0.322512509041501,0.41634154084627617,11000.0,1.303647032E9
12000.0,457.421875,0.11690394464825253,1000.0,0.316506986170346,0.4076207394072616,12000.0,1.276576848E9
13000.0,538.328125,0.1402168743008062,1000.0,0.3243826668893104,0.42087015085389984,13000.0,1.113825488E9
14000.0,609.515625,0.16198656806007622,1000.0,0.3301248942441428,0.4319463546683282,14000.0,1.182091104E9
15000.0,671.5625,0.18400520442360882,1000.0,0.31810067297626754,0.41442325859340284,15000.0,1.371743392E9
16000.0,756.90625,0.18707296951476665,1000.0,0.4054309107934657,0.522064503191979,16000.0,1.38948144E8
17000.0,767.296875,0.1878626734145089,1000.0,0.3811419311516978,0.48582102756533135,17000.0,2.93781864E8
18000.0,786.875,0.18921841227413905,1000.0,0.3523319925167978,0.45131421815248796,18000.0,2.67674696E8
19000.0,799.28125,0.19079605838131908,1000.0,0.380260413047276,0.4808350438617065,19000.0,4.91554224E8
20000.0,825.109375,0.19477544596150334,1000.0,0.3645746549572479,0.4779978574575572,20000.0,5.95560288E8
21000.0,852.515625,0.20025393901370178,1000.0,0.35099242724430896,0.45494953320776566,21000.0,7.7270504E8
22000.0,903.5625,0.20709868532582829,1000.0,0.34208703440632804,0.4434335472384324,22000.0,5.18311168E8
23000.0,926.171875,0.20995881967805968,1000.0,0.3567482708202663,0.45796349405124936,23000.0,4.8899008E8
24000.0,951.828125,0.21395250885220266,1000.0,0.34820406251277136,0.4396533075001384,24000.0,6.01704768E8
25000.0,988.96875,0.21593967684376464,1000.0,0.38392729983458457,0.48945632829531266,25000.0,2.0681772E8
26000.0,1001.609375,0.2169474040498284,1000.0,0.3995254662013566,0.5050516212889414,26000.0,3.08160384E8
27000.0,1016.21875,0.219041275907172,1000.0,0.3725757447271822,0.4757510138314267,27000.0,5.5401412E8
28000.0,1042.796875,0.22394416768550093,1000.0,0.3466866715403009,0.4519409655692386,28000.0,7.13067E8
29000.0,1087.15625,0.23161920612141124,1000.0,0.357734712838257,0.46030254820273514,29000.0,6.6880192E8
30000.0,1124.84375,0.23957767335626862,1000.0,0.3446308430097145,0.43493495518062847,30000.0,8.162712E8
