learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes),number of subtrees,tree size (nodes),tree size (leaves),number of option nodes
15000.0,0.34375,6.740107589090864E-8,1000.0,0.7450934592494611,0.9368040302019418,15000.0,831024.0,4.0,118.0,60.0,1.0
16000.0,0.359375,6.977821208743586E-8,1000.0,0.6805018236799057,0.8872661165491472,16000.0,588080.0,4.0,138.0,70.0,1.0
17000.0,0.375,7.319018348223633E-8,1000.0,0.7428204885836035,0.9817570606567845,17000.0,844088.0,4.0,146.0,74.0,1.0
18000.0,0.40625,8.211878594011068E-8,1000.0,0.7068575637012426,0.908911749240391,18000.0,1104424.0,4.0,154.0,78.0,1.0
19000.0,0.453125,9.779294487088918E-8,1000.0,0.6548619522669915,0.8330083057007054,19000.0,1292544.0,4.0,164.0,83.0,1.0
20000.0,0.484375,1.0766289455609189E-7,1000.0,0.7079542195425749,0.9235530180257085,20000.0,1220864.0,4.0,180.0,91.0,1.0
21000.0,0.515625,1.2088709303902255E-7,1000.0,0.6861975475826604,0.8649992933192525,21000.0,1635768.0,4.0,184.0,93.0,1.0
22000.0,0.578125,1.5045464452770021E-7,1000.0,0.6693535475520486,0.8535833106173548,22000.0,1828680.0,4.0,194.0,98.0,1.0
23000.0,0.625,1.7579505866807367E-7,1000.0,0.6800301389072059,0.8780914641210549,23000.0,2089656.0,4.0,202.0,102.0,1.0
24000.0,0.6875,2.126640497913791E-7,1000.0,0.6338600235526702,0.8002022719551238,24000.0,2280256.0,4.0,212.0,107.0,1.0
25000.0,0.75,2.4667439801204533E-7,1000.0,0.7038889406308664,0.9542331448400588,25000.0,2103456.0,4.0,230.0,116.0,1.0
26000.0,0.8125,2.838817696707944E-7,1000.0,0.6750284245451245,0.8666708136552748,26000.0,2301184.0,4.0,240.0,121.0,1.0
27000.0,0.875,3.2260745582688186E-7,1000.0,0.7236607345444397,0.9732488406099149,27000.0,2395088.0,4.0,252.0,127.0,1.0
28000.0,0.9375,3.6427275820945697E-7,1000.0,0.7070975638414027,0.9383259949163661,28000.0,2576896.0,4.0,264.0,133.0,1.0
29000.0,1.015625,3.6794533823720283E-7,1000.0,0.7198903289875237,0.9225498907537806,29000.0,181712.0,4.0,272.0,137.0,1.0
30000.0,1.03125,3.69032625005477E-7,1000.0,0.7148283758702242,0.8928387458863893,30000.0,268984.0,4.0,280.0,141.0,1.0
31000.0,1.03125,3.69032625005477E-7,1000.0,0.600793924433969,0.7770579364955893,31000.0,554208.0,7.0,293.0,148.0,2.0
32000.0,1.046875,3.7255580537021155E-7,1000.0,0.6606834949887275,0.896494318855415,32000.0,871600.0,7.0,299.0,151.0,2.0
33000.0,1.09375,3.799161640927195E-7,1000.0,0.6401214360154673,0.8480163752342235,33000.0,606960.0,7.0,319.0,161.0,2.0
34000.0,1.09375,3.799161640927195E-7,1000.0,0.7793536497445434,1.0737306511815312,34000.0,854232.0,7.0,327.0,165.0,2.0
35000.0,1.125,3.80180620898803E-7,1000.0,0.712345108998245,0.9069672578974989,35000.0,32712.0,7.0,333.0,168.0,2.0
36000.0,1.125,3.80180620898803E-7,1000.0,0.6850078212432693,0.9180923219589756,36000.0,202656.0,7.0,339.0,171.0,2.0
37000.0,1.140625,3.8168703516324354E-7,1000.0,0.6864478067644076,0.8699947065938415,37000.0,372672.0,7.0,345.0,174.0,2.0
38000.0,1.15625,3.843918158155348E-7,1000.0,0.7316316607202873,0.9613646538306255,38000.0,669136.0,10.0,358.0,181.0,3.0
39000.0,1.1875,3.916742409475975E-7,1000.0,0.6959414932568624,0.8893868640491712,39000.0,900800.0,10.0,366.0,185.0,3.0
40000.0,1.203125,3.965544682513508E-7,1000.0,0.5825217774621619,0.7456771635066326,40000.0,1207320.0,10.0,370.0,187.0,3.0
41000.0,1.234375,4.082100349478423E-7,1000.0,0.6605396846805855,0.8712552889881683,41000.0,1441736.0,10.0,376.0,190.0,3.0
42000.0,1.296875,4.3389552350466445E-7,1000.0,0.6635093373087236,0.8533223001843808,42000.0,1588584.0,10.0,384.0,194.0,3.0
43000.0,1.34375,4.5499056189631417E-7,1000.0,0.5939983081771149,0.7533148223328681,43000.0,1739568.0,10.0,390.0,197.0,3.0
44000.0,1.40625,4.880601449662612E-7,1000.0,0.5940633762558163,0.7684920966161142,44000.0,2045272.0,10.0,394.0,199.0,3.0
45000.0,1.46875,5.20796521515068E-7,1000.0,0.6002318147387701,0.7879142361147015,45000.0,2024664.0,10.0,402.0,203.0,3.0
46000.0,1.515625,5.440653250035311E-7,1000.0,0.7042337031125038,0.9342260752039069,46000.0,1918824.0,10.0,412.0,208.0,3.0
47000.0,1.5625,5.722560712860689E-7,1000.0,0.6193771713869949,0.7752180430618953,47000.0,2324704.0,10.0,416.0,210.0,3.0
48000.0,1.640625,6.219982363594074E-7,1000.0,0.5776623264950513,0.713810503045046,48000.0,2461144.0,10.0,422.0,213.0,3.0
49000.0,1.6875,6.544468730377653E-7,1000.0,0.5916840246927934,0.7849806200005661,49000.0,2675824.0,10.0,430.0,217.0,3.0
50000.0,1.765625,7.162192681183417E-7,1000.0,0.5815540312382756,0.7626228324961496,50000.0,3056376.0,10.0,434.0,219.0,3.0
51000.0,1.859375,7.775924556578198E-7,1000.0,0.6068902093181132,0.7952441169558295,51000.0,2530520.0,10.0,448.0,226.0,3.0
52000.0,1.9375,7.795668271784152E-7,1000.0,0.7660967703904127,1.0178766045627923,52000.0,97688.0,10.0,456.0,230.0,3.0
