learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes),anomaly detections,change detections,rules (number),Avg #inputs/rule,Avg #outputs/rule
1000.0,0.078125,5.744449380371306E-9,1000.0,0.410292262036771,0.5090632761938424,1000.0,284848.0,0.0,0.0,2.0,3.0,1.0
2000.0,0.109375,8.05807455132405E-9,1000.0,0.4079579450329277,0.5092070711761191,2000.0,286184.0,0.0,0.0,2.0,3.0,1.0
3000.0,0.15625,1.1530452563116948E-8,1000.0,0.40354503095701744,0.5060991126113713,3000.0,286344.0,0.0,0.0,2.0,3.0,1.0
4000.0,0.203125,1.5005255894114575E-8,1000.0,0.4209048156764028,0.5212783709815676,4000.0,286544.0,2.0,0.0,2.0,3.0,1.0
5000.0,0.234375,1.732243819990092E-8,1000.0,0.3838473284189237,0.4772655187756905,5000.0,286624.0,2.0,0.0,2.0,3.0,1.0
6000.0,0.28125,2.0799181786262328E-8,1000.0,0.39707629668053246,0.4947498087608847,6000.0,286704.0,2.0,0.0,2.0,3.0,1.0
7000.0,0.3125,2.3526210700058278E-8,1000.0,0.40435352842375644,0.5064680733235071,7000.0,337320.0,2.0,0.0,3.0,3.0,1.0
8000.0,0.328125,2.506965150435766E-8,1000.0,0.39856389076683635,0.49775990889667104,8000.0,381832.0,2.0,0.0,4.0,3.0,1.0
9000.0,0.375,2.9972094732026264E-8,1000.0,0.42094976250211413,0.5213907892330556,9000.0,404272.0,2.0,0.0,4.0,3.0,1.0
10000.0,0.4375,3.653740148163505E-8,1000.0,0.39506984638396136,0.49732804316385515,10000.0,406048.0,3.0,0.0,4.0,3.0,1.0
11000.0,0.484375,4.1469142565296764E-8,1000.0,0.4000619262581296,0.501679466313306,11000.0,406688.0,3.0,0.0,4.0,3.0,1.0
12000.0,0.515625,4.480657581653861E-8,1000.0,0.39548317944651695,0.49560024797490876,12000.0,412824.0,4.0,0.0,4.0,3.0,1.0
13000.0,0.578125,5.1556206825706704E-8,1000.0,0.4143226717526174,0.5146994911617079,13000.0,417448.0,4.0,0.0,4.0,3.0,1.0
14000.0,0.609375,5.493761919852761E-8,1000.0,0.4085049778359755,0.5094829386324452,14000.0,418264.0,4.0,0.0,4.0,3.0,1.0
15000.0,0.671875,6.170561795847285E-8,1000.0,0.40187181661026355,0.49943821864707977,15000.0,418584.0,4.0,0.0,4.0,3.0,1.0
16000.0,0.71875,6.741346118764746E-8,1000.0,0.40535106769583734,0.5087099753764128,16000.0,470688.0,4.0,0.0,5.0,3.0,1.0
17000.0,0.765625,7.314284125136006E-8,1000.0,0.4041815657964546,0.5032510594308541,17000.0,472464.0,4.0,0.0,5.0,3.0,1.0
18000.0,0.8125,7.887561676195927E-8,1000.0,0.3809999672880965,0.4770498149755701,18000.0,472744.0,4.0,0.0,5.0,3.0,1.0
19000.0,0.84375,8.310362722517717E-8,1000.0,0.38433005364305683,0.48393624896023585,19000.0,522984.0,4.0,0.0,6.0,3.0,1.0
20000.0,0.890625,8.93468839219875E-8,1000.0,0.3965108069423051,0.4971733977768301,20000.0,514840.0,4.0,0.0,6.0,3.0,1.0
21000.0,0.9375,9.596092341881661E-8,1000.0,0.39014620603516437,0.4870449064983946,21000.0,545416.0,6.0,0.0,6.0,3.0,1.0
22000.0,0.96875,1.0038690460431909E-7,1000.0,0.4083225613013008,0.5059981145064547,22000.0,547472.0,6.0,0.0,6.0,3.0,1.0
23000.0,1.015625,1.0703848804243739E-7,1000.0,0.3908652914716221,0.48997384228831303,23000.0,548512.0,7.0,0.0,6.0,3.0,1.0
24000.0,1.046875,1.1147979724531375E-7,1000.0,0.411872867622035,0.5096066852569777,24000.0,549368.0,7.0,0.0,6.0,3.0,1.0
25000.0,1.09375,1.181451564965149E-7,1000.0,0.388639806994147,0.48772767467064465,25000.0,549648.0,8.0,0.0,6.0,3.0,1.0
26000.0,1.140625,1.2480799341574314E-7,1000.0,0.3869759573067613,0.4877187460264532,26000.0,549440.0,8.0,0.0,6.0,3.0,1.0
27000.0,1.1875,1.3194590186079347E-7,1000.0,0.3965359877873587,0.49643059887203483,27000.0,588616.0,10.0,0.0,7.0,3.0,1.0
28000.0,1.234375,1.393786321083705E-7,1000.0,0.39792046702361233,0.500467450913151,28000.0,612928.0,10.0,0.0,7.0,3.0,1.0
29000.0,1.265625,1.443460738907258E-7,1000.0,0.4283118411739169,0.5420795877298028,29000.0,614448.0,10.0,0.0,7.0,3.0,1.0
30000.0,1.3125,1.5180354239419106E-7,1000.0,0.39961544145301003,0.49380183509719405,30000.0,614968.0,10.0,0.0,7.0,3.0,1.0
31000.0,1.359375,1.5926440634454294E-7,1000.0,0.39737163154551286,0.49924890515400167,31000.0,615248.0,11.0,0.0,7.0,3.0,1.0
32000.0,1.390625,1.6424187277961112E-7,1000.0,0.4065305665921156,0.5146078509010327,32000.0,615688.0,11.0,0.0,7.0,3.0,1.0
33000.0,1.4375,1.7171311709615923E-7,1000.0,0.3820430691436819,0.4815210342771708,33000.0,616104.0,12.0,0.0,7.0,3.0,1.0
34000.0,1.484375,1.7918630166807112E-7,1000.0,0.37185897959621556,0.4657889232950864,34000.0,616264.0,12.0,0.0,7.0,3.0,1.0
35000.0,1.515625,1.8416907146780031E-7,1000.0,0.3914189628364016,0.4904032449485974,35000.0,616344.0,12.0,0.0,7.0,3.0,1.0
