learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.3125,1.260805745712585E-6,1000.0,0.49393245991763485,0.6214487161479518,1000.0,1.5595544E7
2000.0,1.09375,6.961998749627835E-6,1000.0,0.44039325054344686,0.5513019951555593,2000.0,2.8208376E7
3000.0,2.34375,1.9611180565940837E-5,1000.0,0.4181282578391286,0.5356792429428103,3000.0,3.9116032E7
4000.0,3.734375,3.836632065940648E-5,1000.0,0.4057813739557683,0.5232948025592584,4000.0,5.2132992E7
5000.0,5.765625,7.441794428612209E-5,1000.0,0.3785134801947724,0.48136104307192057,5000.0,6.8606272E7
6000.0,8.203125,1.2246595197615937E-4,1000.0,0.3865820652662231,0.48886278171242886,6000.0,7.6196168E7
7000.0,11.546875,1.9113947902547402E-4,1000.0,0.37783161749413824,0.4838319016543837,7000.0,7.938856E7
8000.0,14.234375,2.4245123411270066E-4,1000.0,0.35849199823982625,0.46228122657380993,8000.0,7.3802448E7
9000.0,17.890625,3.1313859889956397E-4,1000.0,0.32983303148142207,0.42826447101550524,9000.0,7.4732288E7
10000.0,20.390625,3.721854952810746E-4,1000.0,0.34341960138417543,0.44265603683054844,10000.0,9.1297392E7
11000.0,23.890625,4.74962561404229E-4,1000.0,0.3461735423287688,0.4492078805588593,11000.0,1.13509064E8
12000.0,29.046875,5.99916982011766E-4,1000.0,0.3568981541293755,0.45428485592302315,12000.0,9.3674208E7
13000.0,34.375,7.377341562015418E-4,1000.0,0.3568189111793766,0.45761077240081377,13000.0,9.9984184E7
14000.0,39.484375,8.83918396591778E-4,1000.0,0.35637912182562664,0.46840716308153685,14000.0,1.10594912E8
15000.0,44.515625,0.001044237715379697,1000.0,0.3370991164159588,0.4361904239876739,15000.0,1.23172096E8
16000.0,49.515625,0.0010592333023345822,1000.0,0.45857051223035056,0.586163829779238,16000.0,1.1593E7
17000.0,50.140625,0.0010622854727747229,1000.0,0.4460194428909175,0.5659017149578464,17000.0,1.887692E7
18000.0,51.34375,0.001067579905502498,1000.0,0.410846734995175,0.5226384946582859,18000.0,1.7010264E7
19000.0,52.109375,0.0010747684918977836,1000.0,0.4464972713708425,0.5617460894310046,19000.0,3.6293576E7
20000.0,53.53125,0.0010926711685088875,1000.0,0.4274149830332207,0.5496633196386898,20000.0,4.8669728E7
21000.0,55.75,0.0011187101415190326,1000.0,0.4039944974584605,0.5222727886102624,21000.0,4.536468E7
22000.0,57.765625,0.001141322502775842,1000.0,0.4031107752554298,0.5173818517832655,22000.0,4.336492E7
23000.0,59.46875,0.0011662286531322428,1000.0,0.3965950344120753,0.5094442119687981,23000.0,5.6527848E7
24000.0,61.859375,0.0012097935579044536,1000.0,0.3924122455488585,0.4943130160209996,24000.0,7.0441352E7
25000.0,64.90625,0.0012234287359428383,1000.0,0.439508970205782,0.5601468069653686,25000.0,1.7298504E7
26000.0,65.703125,0.0012292015959651,1000.0,0.441005828636698,0.5543578634919638,26000.0,2.8002912E7
27000.0,66.859375,0.0012440935082203293,1000.0,0.406613056188701,0.5189260111919733,27000.0,4.9785296E7
28000.0,69.03125,0.0012782444240292531,1000.0,0.38860411216176394,0.49932581613743354,28000.0,6.0781288E7
29000.0,71.71875,0.001329057884803559,1000.0,0.39887717466465866,0.5140452513849629,29000.0,7.3085744E7
30000.0,74.375,0.0013923553797778568,1000.0,0.36265781556043736,0.45745312432811686,30000.0,9.2112792E7
31000.0,77.9375,0.0014967008933631908,1000.0,0.3603509832985557,0.4665238685006911,31000.0,1.13219512E8
32000.0,83.140625,0.001581053825535087,1000.0,0.3954676736812171,0.5238975357031469,32000.0,6.2666912E7
33000.0,85.484375,0.0016279310790640817,1000.0,0.382394974531666,0.4921459579310062,33000.0,7.7313128E7
34000.0,88.25,0.0016966950151577796,1000.0,0.36512880212544097,0.4676661800896807,34000.0,9.6110272E7
35000.0,91.84375,0.0017983954467733077,1000.0,0.3759374508608674,0.4842268010303659,35000.0,1.0938992E8
36000.0,97.515625,0.0018207565062524128,1000.0,0.390884504732736,0.5072577036606366,36000.0,1.5239408E7
37000.0,98.453125,0.0018241513438988475,1000.0,0.46847911700343725,0.5980266298749468,37000.0,1.3997488E7
38000.0,99.140625,0.0018296062699260395,1000.0,0.4504136733308157,0.5695225304076645,38000.0,3.0670336E7
39000.0,100.390625,0.001845869399840012,1000.0,0.4152892055253828,0.5288868336992518,39000.0,5.0291496E7
40000.0,102.671875,0.001880652125109918,1000.0,0.39638687572431264,0.5064050077052138,40000.0,5.8937688E7
41000.0,105.203125,0.0019042964314576235,1000.0,0.4328554274090918,0.552257169243007,41000.0,3.6107208E7
42000.0,107.078125,0.0019153762247879054,1000.0,0.4735251596407731,0.594999055973641,42000.0,2.2841928E7
43000.0,108.21875,0.001918270478232039,1000.0,0.4714633218575329,0.5974976122657623,43000.0,9808352.0
44000.0,108.6875,0.001920966491193717,1000.0,0.4234825626350812,0.5319924179358988,44000.0,2.2232232E7
45000.0,109.796875,0.0019307535543339322,1000.0,0.3703606140275739,0.47276797761625583,45000.0,3.4101728E7
46000.0,111.6875,0.0019428063127432116,1000.0,0.43156303466235607,0.5491442829471357,46000.0,2.4642424E7
47000.0,112.78125,0.001953311556038291,1000.0,0.4360419019753667,0.5524719996860941,47000.0,3.7127048E7
48000.0,114.4375,0.0019717920309954527,1000.0,0.4315360404998385,0.5437524467026917,48000.0,4.3131008E7
49000.0,117.078125,0.001976856407806432,1000.0,0.43005942951054693,0.5507241588939726,49000.0,7413472.0
50000.0,117.515625,0.0019786176152410914,1000.0,0.44119392367886945,0.56899633663404,50000.0,1.5560904E7
