learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes),tree size (leaves)
32000.0,42.1875,2.063966108188551E-4,1000.0,58.45611756665737,87.37417735419173,32000.0,1.898524E7,45.0
33000.0,43.515625,2.129192120628432E-4,1000.0,51.90786981482679,71.6787905211214,33000.0,1.8983848E7,47.0
34000.0,44.8125,2.193023670244859E-4,1000.0,52.17147917699024,64.94680452092241,34000.0,1.9025656E7,47.0
35000.0,46.15625,2.259124895984618E-4,1000.0,69.4481393039168,124.01579050031795,35000.0,1.9014872E7,49.0
36000.0,47.453125,2.3228989002139623E-4,1000.0,60.79176212873359,104.1846281161166,36000.0,1.9008504E7,50.0
37000.0,48.75,2.3867690460368377E-4,1000.0,73.0511234497696,541.6996632535332,37000.0,1.903716E7,51.0
38000.0,50.015625,2.4491700101255754E-4,1000.0,58.625064105337266,79.65667804854847,38000.0,1.9058496E7,52.0
39000.0,51.328125,2.513820622698404E-4,1000.0,71.44638177342073,122.47890462187189,39000.0,1.9040384E7,54.0
40000.0,52.65625,2.579260566077816E-4,1000.0,87.45523859813817,183.9131247183356,40000.0,1.9046112E7,55.0
41000.0,53.96875,2.6440089675209796E-4,1000.0,66.46957939490574,96.43991538045306,41000.0,1.9069184E7,56.0
42000.0,55.25,2.7073004881256364E-4,1000.0,89.68500545619015,380.14804611852657,42000.0,1.9094752E7,57.0
43000.0,56.53125,2.770562628090071E-4,1000.0,68.69276903370137,141.365286988037,43000.0,1.9085888E7,59.0
44000.0,57.859375,2.8363302159252474E-4,1000.0,71.25252560776343,116.14288377922502,44000.0,1.9141472E7,59.0
45000.0,59.171875,2.901194361361882E-4,1000.0,77.32616996586134,117.40122343001903,45000.0,1.9103272E7,62.0
46000.0,60.5,2.9671164808355065E-4,1000.0,85.58452054944046,152.46238068103048,46000.0,1.9186448E7,65.0
47000.0,61.8125,3.0325417442428364E-4,1000.0,92.99571527645439,148.57874477136673,47000.0,1.9268528E7,66.0
48000.0,63.125,3.097955245822151E-4,1000.0,115.24828108963983,358.31478320661694,48000.0,1.9265064E7,70.0
49000.0,64.4375,3.163553351057797E-4,1000.0,96.9572355849815,198.04623106775034,49000.0,1.9319432E7,72.0
50000.0,65.78125,3.2311899293239956E-4,1000.0,107.96723724207621,191.83986219674088,50000.0,1.9456536E7,78.0
