learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classified first instances,mean absolute error - first measurement,root mean squared error - first measurement,mean absolute error - last measurement,root mean squared error - last measurement,model training instances,model serialized size (bytes)
60000.0,272.328125,0.010834001808964079,2468.0,2330.0,28.969977166906258,42.65631899818015,28.124240921854692,41.856256841762125,2468.0,2.40600392E8
61000.0,280.734375,0.011369229384096496,2509.0,2368.0,28.973153941133475,42.63744443772729,28.09984090307979,41.80409876966417,2509.0,2.46115264E8
62000.0,289.125,0.011915129483095371,2551.0,2408.0,29.069477497406673,42.707625853065984,28.126705772997276,41.77230897539284,2551.0,2.51490296E8
63000.0,297.890625,0.01246965793252457,2593.0,2450.0,29.18443338884702,42.85330075029824,28.181542094900355,41.77026577259531,2593.0,2.44536288E8
64000.0,306.953125,0.012924080664460134,2639.0,2491.0,29.091651766611616,42.660956936592854,28.147041464208876,41.658577121793634,2639.0,1.93827056E8
65000.0,314.46875,0.013232082689775982,2678.0,2527.0,29.262276595613606,42.90937790810928,28.338343764554335,41.964631573614746,2678.0,1.58413008E8
66000.0,320.140625,0.013403672678331431,2719.0,2567.0,29.22534356750772,42.84897451919893,28.328488382069246,41.88570338526812,2719.0,1.16941232E8
67000.0,324.609375,0.013509284161652129,2757.0,2605.0,29.100704523210734,42.662640601898204,28.29079004610787,41.79501059653998,2757.0,9.1353976E7
68000.0,328.453125,0.013590992501704023,2795.0,2643.0,29.283600177822553,42.993303594524725,28.469280285961545,42.164599445021324,2795.0,8.2170064E7
69000.0,331.46875,0.013658866676107412,2852.0,2695.0,29.272708412628475,43.00795050445309,28.463988990921475,42.182831586586104,2852.0,8.7002072E7
70000.0,334.59375,0.013725233589421907,2897.0,2739.0,29.24248479414279,42.938038767524795,28.3973888814428,42.075213907496064,2897.0,8.2092592E7
71000.0,337.671875,0.013787061564831272,2961.0,2800.0,29.34323436690015,43.056808652457015,28.47776703668311,42.19506056877787,2961.0,7.7642792E7
72000.0,340.59375,0.013848249508333136,3008.0,2843.0,29.43113149090331,43.1895263535155,28.5693205008252,42.357488167362575,3008.0,8.0948088E7
73000.0,343.640625,0.01391671223181119,3059.0,2892.0,29.325867465253125,43.011834050256205,28.4707189801482,42.20076944804619,3059.0,8.6856416E7
74000.0,346.796875,0.01398964654502278,3110.0,2941.0,29.342589425854097,42.99475135161708,28.53136952918696,42.241339402497495,3110.0,8.9322912E7
75000.0,349.984375,0.01406588167615054,3171.0,2992.0,29.31830680922511,42.93694980509414,28.533438288368213,42.17408467531901,3171.0,9.2450088E7
76000.0,353.734375,0.01415669518099296,3227.0,3040.0,29.409890671472496,43.05515282779138,28.6121205511322,42.219316463834026,3227.0,9.3609848E7
77000.0,357.46875,0.014250189440693554,3267.0,3073.0,29.47339046232225,43.07733115702733,28.649993283084264,42.22276327907086,3267.0,9.6776384E7
78000.0,361.28125,0.014350235402202496,3313.0,3113.0,29.47246921819669,43.076181466393194,28.607616391077723,42.18012288483694,3313.0,1.01435992E8
79000.0,365.25,0.014457505148440965,3375.0,3172.0,29.538561130143837,43.091510653834064,28.65275055795559,42.18037844420212,3375.0,1.04478248E8
80000.0,369.234375,0.014566186037587213,3416.0,3208.0,29.62275171632622,43.16525184703063,28.674890079786877,42.15655279669539,3416.0,1.0543756E8
81000.0,373.234375,0.014677463546654007,3462.0,3250.0,29.604871492361436,43.09780732852211,28.620028624477374,42.050637599156005,3462.0,1.07534984E8
82000.0,377.25,0.01479166119938277,3501.0,3288.0,29.562651200685718,43.032803712158824,28.604127154349808,42.009674766675666,3501.0,1.09927512E8
83000.0,381.359375,0.014913874464077208,3556.0,3343.0,29.532257866253197,42.91924984666736,28.584281083060855,41.92722966397276,3556.0,1.1495952E8
84000.0,385.515625,0.015042233369862925,3610.0,3395.0,29.548616935065024,42.9131619292286,28.557526112880076,41.87954467131771,3610.0,1.19378664E8
85000.0,389.828125,0.015180114939349657,3654.0,3437.0,29.47460058087512,42.80482860972849,28.476974000938274,41.75632847529903,3654.0,1.23588904E8
86000.0,394.15625,0.015321057659522118,3696.0,3469.0,29.60144572415665,42.93508139905855,28.56123982173249,41.824436244496695,3696.0,1.25876664E8
87000.0,398.640625,0.015470765624583395,3742.0,3514.0,29.582152018168465,42.90647811186851,28.52486758997003,41.7805104229317,3742.0,1.2904624E8
88000.0,403.1875,0.01562725120980759,3786.0,3557.0,29.603591228910652,42.94874728543105,28.52098622811863,41.816879795630626,3786.0,1.3303432E8
89000.0,407.75,0.01579087519960013,3839.0,3607.0,29.646202138254594,42.96340190915019,28.57582953025516,41.85366897109418,3839.0,1.38626568E8
90000.0,412.75,0.015971772254173032,3894.0,3658.0,29.6724194531226,42.95672475046727,28.563934024494678,41.812799672205955,3894.0,1.39850448E8
90452.0,417.484375,0.016140446007678604,3913.0,3675.0,29.691694054183497,43.00111180549789,28.575918213890564,41.83970505657079,3913.0,1.37716896E8
