learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classified first instances,mean absolute error - first measurement,root mean squared error - first measurement,mean absolute error - last measurement,root mean squared error - last measurement,model training instances,model serialized size (bytes)
1000.0,0.1875,2.3918346657107275E-6,14.0,11.0,74.53664206107211,99.43228353841097,78.77786446062751,89.63353091762242,14.0,4.9316504E7
2000.0,2.640625,3.532590192561555E-5,27.0,24.0,79.18952942790035,123.10058313890384,83.93069784047951,118.9734950194255,27.0,5.1895304E7
3000.0,4.953125,6.625368651131996E-5,36.0,32.0,70.11858626536312,110.32277229170094,73.36916799078624,106.63581222381218,36.0,5.1697488E7
4000.0,7.265625,9.831233199090801E-5,46.0,39.0,62.11251556245825,101.19711759660134,62.647771568445144,95.78007982327895,46.0,5.3587784E7
5000.0,9.625,1.3013245505539493E-4,67.0,59.0,51.8495618464322,85.24513568297571,52.57968079804946,82.04906604777985,67.0,5.2132344E7
6000.0,11.890625,1.612588288844563E-4,79.0,71.0,48.133524259774745,79.00191797138424,49.00987369225921,76.70353936704942,79.0,5.3105912E7
7000.0,14.234375,1.94164337493324E-4,94.0,85.0,45.623949278550526,74.0164692254602,46.54474155627922,72.12898432177798,94.0,5.4269984E7
8000.0,16.5625,2.2733462372949965E-4,98.0,89.0,44.82386054047619,72.61885631002433,45.714567875225384,70.87614149495042,98.0,5.5073832E7
9000.0,18.9375,2.6117276807781305E-4,98.0,89.0,44.82386054047619,72.61885631002433,45.714567875225384,70.87614149495042,98.0,5.5073832E7
10000.0,21.328125,2.9702294385060664E-4,127.0,115.0,43.21706410672766,67.54045178184418,42.96126530419643,65.12614069834446,127.0,5.7967184E7
11000.0,23.90625,3.3789011184126133E-4,153.0,141.0,41.19606116921306,63.37157318073894,41.43117515197305,61.792551632195696,153.0,6.1273536E7
12000.0,26.484375,3.792752004422557E-4,178.0,166.0,38.227748844836285,59.28246160720425,38.75220569761401,58.13901781164492,178.0,6.2050072E7
13000.0,29.203125,4.188922366787058E-4,215.0,201.0,37.49500707782407,57.61307196461017,37.80891964395767,56.14121985427085,215.0,5.63268E7
14000.0,31.671875,4.569535636174906E-4,253.0,239.0,37.895142332557434,56.80792966388191,38.123022572759695,55.48426272356146,253.0,5.9594912E7
15000.0,34.1875,4.981246811156677E-4,301.0,286.0,36.1577815711769,53.93175539243082,36.4819484869138,52.91966853235073,301.0,6.3262904E7
16000.0,36.84375,5.406281107570975E-4,339.0,324.0,35.12025069771085,52.12598581375416,35.490292147121465,51.22752160865927,339.0,6.185252E7
17000.0,39.40625,5.82558834640723E-4,368.0,352.0,34.67410473813796,51.96285567731394,35.14591148689009,51.24657858312217,368.0,6.3251504E7
18000.0,41.984375,6.270944526638938E-4,403.0,385.0,33.80343414543269,50.82280104546053,34.262554297882346,50.05925435293261,403.0,6.6773768E7
19000.0,44.65625,6.749362142161569E-4,438.0,419.0,33.095732578393424,49.87048410302429,33.60965497080905,49.366089414112146,438.0,6.9213912E7
20000.0,47.328125,7.252717060489682E-4,472.0,453.0,33.21248906010305,50.14946591272623,33.5761542302728,49.594952409207224,472.0,7.2821656E7
21000.0,50.15625,7.817572704192974E-4,518.0,498.0,33.76171249793434,50.866296176085484,34.13055743573531,50.36505027533478,518.0,7.7204256E7
22000.0,53.015625,8.421128745410693E-4,558.0,536.0,33.405279353856955,50.2242548087571,34.02608288074782,50.14692001478817,558.0,8.159224E7
23000.0,56.03125,9.102600932237691E-4,603.0,580.0,33.07931411456261,49.79139058404137,33.52909148149516,49.797979470041184,603.0,8.7352064E7
24000.0,59.203125,9.863672659331413E-4,651.0,628.0,32.75363289698434,49.11675948483892,33.05508004319211,48.99479612920892,651.0,9.2749568E7
25000.0,63.125,0.001085445384119844,700.0,676.0,32.439662474373534,48.55480893340484,32.64703551599891,48.40249257458266,700.0,9.7653176E7
26000.0,67.109375,0.0011879970570185425,749.0,724.0,32.01738400696216,47.820418981904965,32.18614258419502,47.60415535607045,749.0,9.9491256E7
27000.0,71.140625,0.0012941167340937275,807.0,780.0,31.841669094901945,47.31947680054315,32.05867826231009,47.204049776938625,807.0,1.01755656E8
28000.0,75.171875,0.0014045460968756943,865.0,831.0,31.936112234962327,47.23677302539565,31.91468767674745,46.91917905391883,865.0,1.05888112E8
29000.0,79.328125,0.0015233705108403228,906.0,871.0,31.892553186578578,47.05169443803319,31.741971781052165,46.60203387194905,906.0,1.10511224E8
30000.0,83.46875,0.001647068026585556,958.0,919.0,31.582578648110697,46.49005596438617,31.354513804070592,45.97595640281941,958.0,1.1547752E8
31000.0,87.78125,0.00178356323083992,1008.0,966.0,31.399995786550125,46.29638557943011,31.06827700564804,45.698742049925535,1008.0,1.22346248E8
32000.0,92.34375,0.001932148700094937,1056.0,1009.0,31.182103823517597,46.20258172135287,30.788485294821733,45.60063654673057,1056.0,1.25885536E8
33000.0,96.9375,0.002087544931467467,1104.0,1057.0,31.07557129536172,46.13324399184049,30.667785975649622,45.610408210855354,1104.0,1.30760176E8
34000.0,101.640625,0.0022531189395037167,1155.0,1101.0,30.93551065398399,46.096723091403845,30.298256475938484,45.42515905738953,1155.0,1.36084296E8
35000.0,106.390625,0.002425109468102972,1204.0,1147.0,30.947823746327458,46.16216734664634,30.20937028700105,45.43591628829972,1204.0,1.39963016E8
36000.0,111.234375,0.0025937657992148562,1258.0,1196.0,31.075501887157927,46.62993465766511,30.433683371996686,46.09773240486742,1258.0,1.34593256E8
37000.0,116.0,0.002761555216630869,1307.0,1239.0,31.10081457657783,46.779876257863954,30.476753874805336,46.2924839291034,1307.0,1.36096536E8
38000.0,120.703125,0.0029339951507992936,1370.0,1297.0,31.183675958299748,46.843755992880155,30.537094345563332,46.32213799363068,1370.0,1.4172736E8
39000.0,125.59375,0.003123325326790412,1430.0,1348.0,31.219328873590854,46.801736932494144,30.64737037164153,46.52125571759887,1430.0,1.49643496E8
40000.0,130.65625,0.003326473438258593,1483.0,1390.0,31.113041517244387,46.595636924625424,30.45211362369698,46.22425321439128,1483.0,1.55113688E8
41000.0,135.828125,0.0035435922316456626,1533.0,1434.0,30.96651883736754,46.28164138908975,30.305658920561932,45.87867880971371,1533.0,1.62275056E8
42000.0,141.1875,0.0037746421362195785,1589.0,1490.0,30.997679280992234,46.37228701404691,30.285970448530698,45.77238580419852,1589.0,1.66645664E8
43000.0,146.625,0.0040138356537014865,1630.0,1528.0,30.920730485636238,46.103679170136935,30.226087747486737,45.575004569273936,1630.0,1.70040552E8
44000.0,152.09375,0.004260316609870642,1684.0,1579.0,30.732795101005447,45.75591582684616,30.102155485213896,45.239919607837834,1684.0,1.74219864E8
45000.0,158.8125,0.004571277376639449,1731.0,1624.0,30.516638320164443,45.3766653830624,29.887560591883986,44.86516933187734,1731.0,1.78903768E8
46000.0,165.640625,0.004897558003140147,1770.0,1662.0,30.50856445782696,45.21486309732594,29.820566773520326,44.65943290493016,1770.0,1.8471076E8
47000.0,172.65625,0.005240616071419531,1825.0,1710.0,30.530809094221183,45.12177386881521,29.85879195504746,44.558736755131285,1825.0,1.89018208E8
48000.0,179.78125,0.005590053195515388,1872.0,1754.0,30.594450467436147,45.1324122052894,29.865114150664642,44.53295730458439,1872.0,1.89577392E8
49000.0,186.828125,0.005945983927328294,1922.0,1803.0,30.338130537603575,44.74328805218677,29.63342367664376,44.16469154141294,1922.0,1.9524112E8
50000.0,194.109375,0.0063219956865779945,1974.0,1855.0,30.110481382789455,44.42125279474797,29.459693404378754,43.878591768287265,1974.0,1.99617152E8
51000.0,201.4375,0.006715296812601283,2030.0,1908.0,30.0278238215964,44.26993369613507,29.291754286892445,43.61759526965909,2030.0,2.07460152E8
52000.0,209.046875,0.007132551428965395,2078.0,1955.0,29.90548722958244,44.17606307007256,29.139266974284872,43.45327087275212,2078.0,2.11960304E8
53000.0,216.6875,0.007557554821412647,2127.0,2002.0,29.723224112655952,43.886309323854235,28.94739327489983,43.15324040667395,2127.0,2.15013576E8
54000.0,224.34375,0.007986679946415177,2164.0,2038.0,29.57920028060665,43.66176330808176,28.843035751642336,42.95500153936767,2164.0,2.16655744E8
55000.0,232.328125,0.008440237392723145,2216.0,2090.0,29.480264760012684,43.428749466458164,28.69620955293336,42.694073225403926,2216.0,2.19580488E8
56000.0,240.203125,0.008890305078174504,2268.0,2141.0,29.402406100165315,43.324838180864056,28.603408121946764,42.57689306170993,2268.0,2.20917256E8
57000.0,248.046875,0.009347406879468407,2325.0,2193.0,29.32242147762203,43.149642661781286,28.49061056553956,42.366005123609725,2325.0,2.2526388E8
58000.0,256.03125,0.00982727076444361,2372.0,2236.0,29.219703919891263,42.957653876368376,28.38885025838406,42.16560820595716,2372.0,2.32316208E8
59000.0,264.078125,0.010320492987747357,2423.0,2287.0,29.110432830992437,42.80113292531116,28.24477833471038,41.973512347727564,2423.0,2.36928744E8
