learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
29000.0,0.640625,4.6760801018940086E-9,29000.0,72.5,69.42783356734937,69.44444444444444,68.75,29000.0,75904.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
30000.0,0.671875,5.351935720278158E-9,30000.0,72.1,68.99197236617924,69.17127071823205,68.58108108108108,30000.0,83600.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
31000.0,0.6875,5.708554656141335E-9,31000.0,72.7,69.63674198904918,69.70033296337402,68.9419795221843,31000.0,88224.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
32000.0,0.703125,6.072643575155073E-9,32000.0,70.1,66.71805517678946,66.59217877094972,66.21468926553672,32000.0,90072.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
33000.0,0.734375,6.824233827905523E-9,33000.0,72.7,69.6481520394107,69.46308724832214,69.04761904761905,33000.0,92968.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
34000.0,0.75,7.205396994120546E-9,34000.0,72.6,69.54638563389642,69.24803591470258,68.75712656784494,34000.0,94296.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
35000.0,0.75,7.205396994120546E-9,35000.0,72.89999999999999,69.87647130094739,69.41309255079007,69.37853107344633,35000.0,94352.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
36000.0,0.78125,7.983245369460849E-9,36000.0,72.6,69.55203712428991,69.00452488687783,69.48775055679288,36000.0,96216.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
37000.0,0.796875,8.373624748653838E-9,37000.0,72.5,69.41154486158445,68.85617214043035,68.31797235023042,37000.0,96576.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
38000.0,0.8125,8.764715554813547E-9,38000.0,72.6,69.55027760367352,69.95614035087719,68.7214611872146,38000.0,96752.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
39000.0,0.859375,9.952927939593794E-9,39000.0,75.3,72.53520108791739,72.15332581736189,71.99546485260771,39000.0,97984.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
40000.0,0.890625,1.074642770820194E-8,40000.0,75.2,72.43387743079292,72.62693156732892,72.10348706411699,40000.0,98152.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
41000.0,0.90625,1.114320993009541E-8,41000.0,75.9,73.20995833648291,72.79909706546276,72.86036036036036,41000.0,98160.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
42000.0,0.9375,1.1938132552636996E-8,42000.0,76.9,74.32254880383094,74.61538461538461,74.10313901345292,42000.0,98328.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
43000.0,0.96875,1.2764551987250649E-8,43000.0,76.2,73.53405933041171,73.73068432671081,73.31838565022422,43000.0,102224.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
44000.0,1.0,1.360487658530474E-8,44000.0,73.9,70.99010440227944,70.87053571428571,70.70707070707071,44000.0,103944.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
45000.0,1.015625,1.4032056141230797E-8,45000.0,73.3,70.33125652128982,70.26726057906458,69.79638009049773,45000.0,105680.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
46000.0,1.03125,1.4460755563858485E-8,46000.0,74.4,71.53303502326284,71.30044843049326,70.87599544937429,46000.0,106056.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
47000.0,1.046875,1.4890425114168063E-8,47000.0,74.1,71.20552142464852,71.47577092511013,70.89887640449439,47000.0,106296.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
48000.0,1.078125,1.575002291550239E-8,48000.0,73.0,69.98555971928717,69.86607142857143,68.71378910776362,48000.0,106328.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
49000.0,1.09375,1.6189005691558126E-8,49000.0,74.7,71.88635866116839,72.1058434399118,71.70022371364654,49000.0,108600.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
50000.0,1.125,1.7087214574631722E-8,50000.0,73.1,70.07639973480349,70.01114827201783,69.327251995439,50000.0,111104.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
