learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
29000.0,0.578125,1.2442437259273396E-8,29000.0,84.7,69.39338897201796,69.9410609037328,69.27710843373494,29000.0,163656.0,37.0,19.0,19.0,6.0,0.0,0.0,1.0
30000.0,0.578125,1.2442437259273396E-8,30000.0,83.1,66.17916636648175,67.05653021442495,65.5804480651731,30000.0,141568.0,32.0,14.0,14.0,6.0,0.0,0.0,1.0
31000.0,0.609375,1.3602386590921215E-8,31000.0,83.39999999999999,66.79840632350353,66.46464646464646,66.53225806451613,31000.0,143480.0,32.0,14.0,14.0,6.0,0.0,0.0,1.0
32000.0,0.625,1.418507761425442E-8,32000.0,86.1,72.16548520165004,72.8515625,71.45790554414783,32000.0,144152.0,32.0,14.0,14.0,6.0,0.0,0.0,1.0
33000.0,0.625,1.418507761425442E-8,33000.0,82.3,64.5875348122539,65.89595375722543,64.17004048582994,33000.0,151720.0,34.0,15.0,15.0,6.0,0.0,0.0,1.0
34000.0,0.625,1.418507761425442E-8,34000.0,84.1,68.2231335587692,66.875,66.2420382165605,34000.0,158952.0,36.0,16.0,16.0,6.0,0.0,0.0,1.0
35000.0,0.65625,1.5525341344376403E-8,35000.0,84.8,69.52979665148501,69.78131212723657,68.85245901639344,35000.0,165784.0,38.0,17.0,17.0,6.0,0.0,0.0,1.0
36000.0,0.671875,1.6203880982680452E-8,36000.0,84.5,68.89124378828383,68.81287726358148,67.50524109014674,36000.0,167864.0,38.0,17.0,17.0,6.0,0.0,0.0,1.0
37000.0,0.6875,1.6907320564819704E-8,37000.0,85.2,70.28016964400462,69.42148760330578,68.44349680170575,37000.0,174024.0,40.0,18.0,18.0,6.0,0.0,0.0,1.0
38000.0,0.703125,1.7626637903352575E-8,38000.0,82.0,64.00561512404065,63.709677419354826,65.18375241779496,38000.0,177952.0,40.0,18.0,18.0,6.0,0.0,0.0,1.0
39000.0,0.71875,1.839966797787282E-8,39000.0,83.1,66.1926976226865,67.05653021442495,65.43967280163598,39000.0,191240.0,44.0,20.0,20.0,7.0,0.0,0.0,1.0
40000.0,0.734375,1.9184242571807567E-8,40000.0,85.39999999999999,70.8024525939821,71.92307692307692,70.44534412955466,40000.0,194096.0,44.0,20.0,20.0,7.0,0.0,0.0,1.0
41000.0,0.765625,2.0759147850589617E-8,41000.0,87.5,74.98018430597033,74.17355371900827,73.17596566523605,41000.0,194808.0,46.0,21.0,21.0,7.0,0.0,0.0,1.0
42000.0,0.796875,2.2391678713676E-8,42000.0,86.5,72.98919567827132,73.1610337972167,72.67206477732793,42000.0,201936.0,46.0,21.0,21.0,7.0,0.0,0.0,1.0
43000.0,0.796875,2.2391678713676E-8,43000.0,84.39999999999999,68.78339276495095,68.29268292682926,67.63485477178422,43000.0,203008.0,46.0,21.0,21.0,7.0,0.0,0.0,1.0
44000.0,0.8125,2.3243547831144595E-8,44000.0,83.89999999999999,67.80309090327327,66.10526315789474,67.6056338028169,44000.0,210744.0,48.0,22.0,22.0,7.0,0.0,0.0,1.0
45000.0,0.84375,2.499663322750065E-8,45000.0,82.89999999999999,65.79699013513188,64.74226804123711,64.81481481481481,45000.0,216848.0,50.0,23.0,23.0,7.0,0.0,0.0,1.0
46000.0,0.859375,2.5883847330179478E-8,46000.0,83.2,66.32078648982406,64.25531914893617,64.55696202531644,46000.0,219488.0,50.0,23.0,23.0,7.0,0.0,0.0,1.0
47000.0,0.859375,2.5883847330179478E-8,47000.0,83.3,66.6,66.12576064908721,66.26262626262626,47000.0,230736.0,54.0,25.0,25.0,7.0,0.0,0.0,1.0
48000.0,0.890625,2.778549161222246E-8,48000.0,86.0,71.89612808941848,72.22222222222221,70.89397089397089,48000.0,235224.0,56.0,26.0,26.0,7.0,0.0,0.0,1.0
49000.0,0.90625,2.8765158882985513E-8,49000.0,85.6,71.17151745924973,71.70923379174853,70.4312114989733,49000.0,242360.0,56.0,26.0,26.0,7.0,0.0,0.0,1.0
50000.0,0.921875,2.975743781361315E-8,50000.0,84.8,69.60972488803583,67.93248945147678,68.13417190775681,50000.0,245480.0,58.0,27.0,27.0,7.0,0.0,0.0,1.0
