learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes),anomaly detections,change detections,rules (number),Avg #inputs/rule,Avg #outputs/rule
37000.0,9.5,1.4933190250303597E-5,1000.0,19.92325486228,29.95018773286739,37000.0,8712744.0,31.0,0.0,5.0,13.0,1.0
38000.0,9.8125,1.5637910400982946E-5,1000.0,20.285076545000358,28.86459809729341,38000.0,8717040.0,35.0,0.0,5.0,13.0,1.0
39000.0,10.140625,1.6453052618696045E-5,1000.0,19.338529982832434,29.3608604065667,39000.0,9602768.0,40.0,0.0,5.0,13.0,1.0
40000.0,10.484375,1.7309283430222424E-5,1000.0,18.26577522204262,27.791596785082227,40000.0,9628320.0,44.0,0.0,5.0,13.0,1.0
41000.0,10.828125,1.816732624623304E-5,1000.0,15.699356049418233,28.354261034707257,41000.0,9648696.0,53.0,0.0,5.0,13.0,1.0
42000.0,11.15625,1.8986862172217423E-5,1000.0,11.269252028095858,19.873896023398938,42000.0,9654528.0,53.0,0.0,5.0,13.0,1.0
43000.0,11.484375,1.980678517914688E-5,1000.0,11.821022748292535,22.677876920555537,43000.0,9659088.0,53.0,0.0,5.0,13.0,1.0
44000.0,11.8125,2.0626873883884403E-5,1000.0,11.338792932538917,19.77668745767961,44000.0,9661040.0,53.0,0.0,5.0,13.0,1.0
45000.0,12.109375,2.1368961509627603E-5,1000.0,13.418682023693146,24.25911547653111,45000.0,9662376.0,53.0,0.0,5.0,13.0,1.0
46000.0,12.4375,2.218931370104353E-5,1000.0,12.470321299908608,18.945754736839,46000.0,9664144.0,53.0,0.0,5.0,13.0,1.0
47000.0,12.8125,2.320342464372516E-5,1000.0,13.117991208844762,21.502332473507813,47000.0,1.0453376E7,53.0,0.0,6.0,13.0,1.0
48000.0,13.21875,2.430448813053469E-5,1000.0,13.933784828400324,27.426507903970084,48000.0,1.0476624E7,53.0,0.0,6.0,13.0,1.0
49000.0,13.671875,2.5537401702927635E-5,1000.0,15.899455667902485,33.492795339574435,49000.0,1.0517608E7,53.0,0.0,6.0,13.0,1.0
50000.0,14.09375,2.668736651281102E-5,1000.0,15.456747469931795,31.969814236331338,50000.0,1.0536664E7,53.0,0.0,6.0,13.0,1.0
