learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes),tree size (leaves)
41000.0,1.484375,2.661263311488762E-7,1000.0,20.33931714313865,30.638749518016738,41000.0,689360.0,11.0
42000.0,1.5,2.6891286122716147E-7,1000.0,18.193874112694374,24.082781098220536,42000.0,689360.0,11.0
43000.0,1.546875,2.772724514620173E-7,1000.0,18.76308393829702,25.547189850681487,43000.0,689360.0,11.0
44000.0,1.578125,2.8284551161858783E-7,1000.0,17.622519086715837,23.22082004957339,44000.0,689360.0,11.0
45000.0,1.59375,2.856320416968731E-7,1000.0,18.67293502707117,25.879536456249202,45000.0,689360.0,11.0
46000.0,1.625,2.9120510185344365E-7,1000.0,17.56929195130231,21.97594830287033,46000.0,689360.0,11.0
47000.0,1.671875,2.9956469208829947E-7,1000.0,17.566930361677798,23.35265044156706,47000.0,689360.0,11.0
48000.0,1.71875,3.079242823231553E-7,1000.0,17.62873736016084,28.909839356664094,48000.0,689360.0,11.0
49000.0,1.75,3.1349734247972583E-7,1000.0,18.962300087590783,34.1127366131461,49000.0,689360.0,11.0
50000.0,1.78125,3.190704026362964E-7,1000.0,18.28699980804125,33.09175004076562,50000.0,689360.0,11.0
